beta_1^1	beta_1^2	beta_2^1	beta_2^2	rot_rate, *1e-3 (ordinary convention)	rot_rate *1e-3 (mCT convention)
-1.0	-1.0	0.0	0.0	-1.3521803965087429	1.3521803965087429
-1.0	-1.0	0.0	0.2	-0.39872132963153983	0.39872132963153983
-1.0	-1.0	0.0	0.4	0.22121900470001085	-0.22121900470001085
-1.0	-1.0	0.0	0.6	0.5083281558400664	-0.5083281558400664
-1.0	-1.0	0.0	0.8	0.4692524342121442	-0.4692524342121442
-1.0	-1.0	0.0	1.0	0.1163104324115571	-0.1163104324115571
-1.0	-1.0	0.2	0.0	-2.0274684538499312	2.0274684538499312
-1.0	-1.0	0.2	0.2	-1.0752125983425027	1.0752125983425027
-1.0	-1.0	0.2	0.4	-0.4550430808928998	0.4550430808928998
-1.0	-1.0	0.2	0.6	-0.16604316902891256	0.16604316902891256
-1.0	-1.0	0.2	0.8	-0.20133736920897127	0.20133736920897127
-1.0	-1.0	0.2	1.0	-0.5484352014992239	0.5484352014992239
-1.0	-1.0	0.4	0.0	-2.36408115848929	2.36408115848929
-1.0	-1.0	0.4	0.2	-1.4151484581936205	1.4151484581936205
-1.0	-1.0	0.4	0.4	-0.796869701467949	0.796869701467949
-1.0	-1.0	0.4	0.6	-0.508098972722014	0.508098972722014
-1.0	-1.0	0.4	0.8	-0.5417315952961934	0.5417315952961934
-1.0	-1.0	0.4	1.0	-0.8851624976976088	0.8851624976976088
-1.0	-1.0	0.6	0.0	-2.3653989614180904	2.3653989614180904
-1.0	-1.0	0.6	0.2	-1.4221385432942166	1.4221385432942166
-1.0	-1.0	0.6	0.4	-0.8080996742525131	0.8080996742525131
-1.0	-1.0	0.6	0.6	-0.5219072555846668	0.5219072555846668
-1.0	-1.0	0.6	0.8	-0.5562274275130032	0.5562274275130032
-1.0	-1.0	0.6	1.0	-0.8982832312061046	0.8982832312061046
-1.0	-1.0	0.8	0.0	-2.0408756662559924	2.0408756662559924
-1.0	-1.0	0.8	0.2	-1.1058085446024888	1.1058085446024888
-1.0	-1.0	0.8	0.4	-0.4985878733228424	0.4985878733228424
-1.0	-1.0	0.8	0.6	-0.21743748325214743	0.21743748325214743
-1.0	-1.0	0.8	0.8	-0.2548516272741902	0.2548516272741902
-1.0	-1.0	0.8	1.0	-0.5980533465575534	0.5980533465575534
-1.0	-1.0	1.0	0.0	-1.4056373587944488	1.4056373587944488
-1.0	-1.0	1.0	0.2	-0.48139913946891766	0.48139913946891766
-1.0	-1.0	1.0	0.4	0.11648231975009636	-0.11648231975009636
-1.0	-1.0	1.0	0.6	0.3899550753660383	-0.3899550753660383
-1.0	-1.0	1.0	0.8	0.3468113533926873	-0.3468113533926873
-1.0	-1.0	1.0	1.0	0.0	-0.0
-1.0	-0.8	0.0	0.0	-1.235239710522542	1.235239710522542
-1.0	-0.8	0.0	0.2	-0.567915766533672	0.567915766533672
-1.0	-0.8	0.0	0.4	-0.16971009891774985	0.16971009891774985
-1.0	-0.8	0.0	0.6	-0.03964867942305296	0.03964867942305296
-1.0	-0.8	0.0	0.8	-0.17188733853924698	0.17188733853924698
-1.0	-0.8	0.0	1.0	-0.5559982443949509	0.5559982443949509
-1.0	-0.8	0.2	0.0	-1.8847446670828432	1.8847446670828432
-1.0	-0.8	0.2	0.2	-1.2118057367016908	1.2118057367016908
-1.0	-0.8	0.2	0.4	-0.80655268820566	0.80655268820566
-1.0	-0.8	0.2	0.6	-0.6678969017840007	0.6678969017840007
-1.0	-0.8	0.2	0.8	-0.7899369121468661	0.7899369121468661
-1.0	-0.8	0.2	1.0	-1.162187591643362	1.162187591643362
-1.0	-0.8	0.4	0.0	-2.193053256642739	2.193053256642739
-1.0	-0.8	0.4	0.2	-1.5160463259161583	1.5160463259161583
-1.0	-0.8	0.4	0.4	-1.1054647699254103	1.1054647699254103
-1.0	-0.8	0.4	0.6	-0.9600480815212074	0.9600480815212074
-1.0	-0.8	0.4	0.8	-1.0737802038546758	1.0737802038546758
-1.0	-0.8	0.4	1.0	-1.4360614177158955	1.4360614177158955
