beta_1^1	beta_1^2	beta_2^1	beta_2^2	rot_rate, *1e-3 (ordinary convention)	rot_rate *1e-3 (mCT convention)
-1.0	-1.0	0.0	0.0	-1.5022380430535054	1.5022380430535054
-1.0	-1.0	0.0	0.2	-0.5337101861643617	0.5337101861643617
-1.0	-1.0	0.0	0.4	0.10158541707669495	-0.10158541707669495
-1.0	-1.0	0.0	0.6	0.40427902024430884	-0.40427902024430884
-1.0	-1.0	0.0	0.8	0.3807877506439451	-0.3807877506439451
-1.0	-1.0	0.0	1.0	0.04331560931189024	-0.04331560931189024
-1.0	-1.0	0.2	0.0	-2.1617697610285957	2.1617697610285957
-1.0	-1.0	0.2	0.2	-1.1945597070682534	1.1945597070682534
-1.0	-1.0	0.2	0.4	-0.5591495122681703	0.5591495122681703
-1.0	-1.0	0.2	0.6	-0.25473703571516404	0.25473703571516404
-1.0	-1.0	0.2	0.8	-0.27473326276522975	0.27473326276522975
-1.0	-1.0	0.2	1.0	-0.6067050092640287	0.6067050092640287
-1.0	-1.0	0.4	0.0	-2.482339647404292	2.482339647404292
-1.0	-1.0	0.4	0.2	-1.518567340214734	1.518567340214734
-1.0	-1.0	0.4	0.4	-0.8853343850361481	0.8853343850361481
-1.0	-1.0	0.4	0.6	-0.5813802747192464	0.5813802747192464
-1.0	-1.0	0.4	0.8	-0.6000014030609979	0.6000014030609979
-1.0	-1.0	0.4	1.0	-0.9285926985685253	0.9285926985685253
-1.0	-1.0	0.6	0.0	-2.4675000405104033	2.4675000405104033
-1.0	-1.0	0.6	0.2	-1.509629198610693	1.509629198610693
-1.0	-1.0	0.6	0.4	-0.8808653142341277	0.8808653142341277
-1.0	-1.0	0.6	0.6	-0.5798332886723931	0.5798332886723931
-1.0	-1.0	0.6	0.8	-0.5994284452658672	0.5994284452658672
-1.0	-1.0	0.6	1.0	-0.9269884167421588	0.9269884167421588
-1.0	-1.0	0.8	0.0	-2.1268766313051293	2.1268766313051293
-1.0	-1.0	0.8	0.2	-1.1774855647733549	1.1774855647733549
-1.0	-1.0	0.8	0.4	-0.5557117654973854	0.5557117654973854
-1.0	-1.0	0.8	0.6	-0.2600655432098807	0.2600655432098807
-1.0	-1.0	0.8	0.8	-0.2831557423536528	0.2831557423536528
-1.0	-1.0	0.8	1.0	-0.6122054040972847	0.6122054040972847
-1.0	-1.0	1.0	0.0	-1.4757673929184614	1.4757673929184614
-1.0	-1.0	1.0	0.2	-0.5374344118327122	0.5374344118327122
-1.0	-1.0	1.0	0.4	0.07465640070554626	-0.07465640070554626
-1.0	-1.0	1.0	0.6	0.36228121386121953	-0.36228121386121953
-1.0	-1.0	1.0	0.8	0.33311766208906063	-0.33311766208906063
-1.0	-1.0	1.0	1.0	0.0	-0.0
-1.0	-0.8	0.0	0.0	-1.372405806676861	1.372405806676861
-1.0	-0.8	0.0	0.2	-0.689841185337511	0.689841185337511
-1.0	-0.8	0.0	0.4	-0.27605106569403065	0.27605106569403065
-1.0	-0.8	0.0	0.6	-0.1303478983922623	0.1303478983922623
-1.0	-0.8	0.0	0.8	-0.2469448097013848	0.2469448097013848
-1.0	-0.8	0.0	1.0	-0.6156431508680695	0.6156431508680695
-1.0	-0.8	0.2	0.0	-2.0059825365325255	2.0059825365325255
-1.0	-0.8	0.2	0.2	-1.3179175203599196	1.3179175203599196
-1.0	-0.8	0.2	0.4	-0.8972519071748691	0.8972519071748691
-1.0	-0.8	0.2	0.6	-0.7431835560641908	0.7431835560641908
-1.0	-0.8	0.2	0.8	-0.8498682975175501	0.8498682975175501
-1.0	-0.8	0.2	1.0	-1.2069355954430792	1.2069355954430792
-1.0	-0.8	0.4	0.0	-2.298191012049245	2.298191012049245
-1.0	-0.8	0.4	0.2	-1.6062298828697499	1.6062298828697499
-1.0	-0.8	0.4	0.4	-1.1804649453080354	1.1804649453080354
-1.0	-0.8	0.4	0.6	-1.019807579553352	1.019807579553352
-1.0	-0.8	0.4	0.8	-1.1184136160953668	1.1184136160953668
-1.0	-0.8	0.4	1.0	-1.4659698146217242	1.4659698146217242
-1.0	-0.8	0.6	0.0	-2.2531565293519624	2.2531565293519624
